validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.2697648175908786,0.4399999976158142,0,3,,,,
,,0,3,0.26520463824272156,0.4747474789619446,,
0.2653284750926399,0.4399999976158142,1,7,,,,
,,1,7,0.25986072421073914,0.4444444477558136,,
0.26363021303020784,0.3199999928474426,2,11,,,,
,,2,11,0.25382885336875916,0.46464645862579346,,
0.26124545084074297,0.5600000023841858,3,15,,,,
,,3,15,0.25110387802124023,0.5454545617103577,,
0.25603198092375207,0.6000000238418579,4,19,,,,
,,4,19,0.24968811869621277,0.5353535413742065,,
0.24877048584926623,0.6000000238418579,5,23,,,,
,,5,23,0.24564294517040253,0.5757575631141663,,
0.2409460016545047,0.5199999809265137,6,27,,,,
,,6,27,0.23907159268856049,0.5959596037864685,,
0.23346564721419946,0.5600000023841858,7,31,,,,
,,7,31,0.23182840645313263,0.6161616444587708,,
0.2289085140258334,0.6000000238418579,8,35,,,,
,,8,35,0.22476151585578918,0.6363636255264282,,
0.22498435343783815,0.6000000238418579,9,39,,,,
,,9,39,0.21713170409202576,0.6363636255264282,,
0.22057624441237075,0.6000000238418579,10,43,,,,
,,10,43,0.20809853076934814,0.6565656661987305,,
0.2161688555380055,0.6000000238418579,11,47,,,,
,,11,47,0.1981833279132843,0.6868686676025391,,
0.2117631385185207,0.6399999856948853,12,51,,,,
,,12,51,0.18845242261886597,0.6868686676025391,,
0.20866310810901595,0.6399999856948853,13,55,,,,
,,13,55,0.17959146201610565,0.6969696879386902,,
0.20689191739667165,0.7200000286102295,14,59,,,,
,,14,59,0.17090365290641785,0.7373737096786499,,
0.2041469842109209,0.7200000286102295,15,63,,,,
,,15,63,0.16236160695552826,0.7676767706871033,,
0.20083312867629913,0.7200000286102295,16,67,,,,
,,16,67,0.15501293540000916,0.7777777910232544,,
0.19805217741742745,0.7200000286102295,17,71,,,,
,,17,71,0.1483556181192398,0.808080792427063,,
0.19566858042090338,0.7200000286102295,18,75,,,,
,,18,75,0.1416899859905243,0.8282828330993652,,
0.19216765679504058,0.6800000071525574,19,79,,,,
,,19,79,0.13597282767295837,0.8484848737716675,,
0.18916356812053245,0.6800000071525574,20,83,,,,
,,20,83,0.1311284750699997,0.8484848737716675,,
0.18783375400400423,0.6399999856948853,21,87,,,,
,,21,87,0.12644416093826294,0.8484848737716675,,
0.18692348833202865,0.6000000238418579,22,91,,,,
,,22,91,0.12171326577663422,0.8484848737716675,,
0.1850791825842029,0.6399999856948853,23,95,,,,
,,23,95,0.11723141372203827,0.8484848737716675,,
0.18314476351130327,0.6800000071525574,24,99,,,,
,,24,99,0.11303332448005676,0.8484848737716675,,
0.1793734079647643,0.6800000071525574,25,103,,,,
,,25,103,0.10895810276269913,0.8585858345031738,,
0.17525831071894,0.6800000071525574,26,107,,,,
,,26,107,0.1051034927368164,0.8787878751754761,,
0.17092158116113695,0.6800000071525574,27,111,,,,
,,27,111,0.10140287131071091,0.8888888955116272,,
0.1654830456575786,0.6800000071525574,28,115,,,,
,,28,115,0.0976807251572609,0.8787878751754761,,
0.16392435304019198,0.6800000071525574,29,119,,,,
,,29,119,0.0945318415760994,0.868686854839325,,
0.16367222053985991,0.6399999856948853,30,123,,,,
,,30,123,0.09110549837350845,0.868686854839325,,
0.16367741408954686,0.6399999856948853,31,127,,,,
,,31,127,0.08775339275598526,0.8888888955116272,,
0.16215097220255706,0.6399999856948853,32,131,,,,
,,32,131,0.08442096412181854,0.8888888955116272,,
0.16373364294024995,0.6000000238418579,33,135,,,,
,,33,135,0.0815151110291481,0.9090909361839294,,
0.16480717306735682,0.6000000238418579,34,139,,,,
,,34,139,0.07851825654506683,0.9090909361839294,,
0.16332933500937202,0.6399999856948853,35,143,,,,
,,35,143,0.0754869356751442,0.9090909361839294,,
0.16196960152746073,0.6399999856948853,36,147,,,,
,,36,147,0.07247409224510193,0.9292929172515869,,
0.16226044394672087,0.6800000071525574,37,151,,,,
,,37,151,0.06949856132268906,0.9292929172515869,,
0.1593254457094796,0.6399999856948853,38,155,,,,
,,38,155,0.06693565845489502,0.9292929172515869,,
0.1673016605778837,0.6800000071525574,39,159,,,,
,,39,159,0.0640825480222702,0.939393937587738,,
0.16998364797318394,0.6800000071525574,40,163,,,,
,,40,163,0.06091943755745888,0.939393937587738,,
0.1650519276991334,0.6800000071525574,41,167,,,,
,,41,167,0.05800456553697586,0.939393937587738,,
0.16975683584820686,0.6800000071525574,42,171,,,,
,,42,171,0.055782824754714966,0.939393937587738,,
0.16704465498731758,0.6800000071525574,43,175,,,,
,,43,175,0.053106602281332016,0.9494949579238892,,
0.16594051863978443,0.6800000071525574,44,179,,,,
,,44,179,0.050517674535512924,0.9494949579238892,,
0.1622793202190661,0.7200000286102295,45,183,,,,
,,45,183,0.04750485345721245,0.9494949579238892,,
0.15619550578203054,0.7200000286102295,46,187,,,,
,,46,187,0.045221295207738876,0.9494949579238892,,
0.15293093918993553,0.7200000286102295,47,191,,,,
,,47,191,0.04210362210869789,0.9494949579238892,,
0.14417989470634038,0.7200000286102295,48,195,,,,
,,48,195,0.03879544138908386,0.9595959782600403,,
0.1383258338445992,0.7599999904632568,49,199,,,,
,,49,199,0.03525319695472717,0.9696969985961914,,
0.13564974655608805,0.7599999904632568,50,203,,,,
,,50,203,0.031568244099617004,0.9898989796638489,,
0.13264676157422112,0.800000011920929,51,207,,,,
,,51,207,0.02794770337641239,0.9898989796638489,,
0.12698483014169532,0.800000011920929,52,211,,,,
,,52,211,0.025340015068650246,0.9898989796638489,,
