validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.2552974579685161,0.4399999976158142,0,3,,,,
,,0,3,0.25105443596839905,0.4848484992980957,,
0.24893919722574281,0.5199999809265137,1,7,,,,
,,1,7,0.2451057881116867,0.5353535413742065,,
0.24270508800901386,0.5199999809265137,2,11,,,,
,,2,11,0.2406221628189087,0.5555555820465088,,
0.23769949722793446,0.5600000023841858,3,15,,,,
,,3,15,0.23836812376976013,0.5353535413742065,,
0.23061629736267483,0.5600000023841858,4,19,,,,
,,4,19,0.23409993946552277,0.5454545617103577,,
0.22179906996887663,0.6000000238418579,5,23,,,,
,,5,23,0.22302129864692688,0.6262626051902771,,
0.21435070813566864,0.6000000238418579,6,27,,,,
,,6,27,0.20730498433113098,0.6565656661987305,,
0.20962734537276617,0.6399999856948853,7,31,,,,
,,7,31,0.19112224876880646,0.6969696879386902,,
0.20566521710622093,0.6399999856948853,8,35,,,,
,,8,35,0.17544205486774445,0.7373737096786499,,
0.19914013434373495,0.6399999856948853,9,39,,,,
,,9,39,0.159794420003891,0.7777777910232544,,
0.19280612458456642,0.6800000071525574,10,43,,,,
,,10,43,0.14633816480636597,0.8181818127632141,,
0.18943377517840967,0.6800000071525574,11,47,,,,
,,11,47,0.13590764999389648,0.8181818127632141,,
0.18759159516692242,0.6800000071525574,12,51,,,,
,,12,51,0.1283881813287735,0.8383838534355164,,
0.18582976339541077,0.6800000071525574,13,55,,,,
,,13,55,0.12266963720321655,0.8484848737716675,,
0.1835223246662514,0.6800000071525574,14,59,,,,
,,14,59,0.11812412738800049,0.8484848737716675,,
0.1815893262739943,0.7200000286102295,15,63,,,,
,,15,63,0.11365624517202377,0.8585858345031738,,
0.17993237564920989,0.7200000286102295,16,67,,,,
,,16,67,0.10865536332130432,0.8585858345031738,,
0.17714322746675953,0.7200000286102295,17,71,,,,
,,17,71,0.10345494002103806,0.8484848737716675,,
0.17381264983980518,0.7599999904632568,18,75,,,,
,,18,75,0.09820674359798431,0.868686854839325,,
0.16959991279345213,0.7599999904632568,19,79,,,,
,,19,79,0.09275457262992859,0.8888888955116272,,
0.16400439842149786,0.7599999904632568,20,83,,,,
,,20,83,0.08724310249090195,0.8989899158477783,,
