validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.2875480676805441,0.6399999856948853,0,3,,,,
,,0,3,0.255815327167511,0.46464645862579346,,
0.26325529020331584,0.6399999856948853,1,7,,,,
,,1,7,0.2519444227218628,0.46464645862579346,,
0.24674257200802244,0.6399999856948853,2,11,,,,
,,2,11,0.2505800724029541,0.46464645862579346,,
0.24020415380178442,0.6399999856948853,3,15,,,,
,,3,15,0.2537861168384552,0.46464645862579346,,
0.2392954736633973,0.6399999856948853,4,19,,,,
,,4,19,0.25657665729522705,0.46464645862579346,,
0.24167945479708539,0.6399999856948853,5,23,,,,
,,5,23,0.25611379742622375,0.46464645862579346,,
0.2452130791034086,0.6399999856948853,6,27,,,,
,,6,27,0.2538737952709198,0.46464645862579346,,
0.24822171706253116,0.6399999856948853,7,31,,,,
,,7,31,0.25189441442489624,0.46464645862579346,,
0.24967938363059575,0.6399999856948853,8,35,,,,
,,8,35,0.25078085064888,0.46464645862579346,,
0.24954557104637756,0.6399999856948853,9,39,,,,
,,9,39,0.2503192722797394,0.46464645862579346,,
0.24829912207134808,0.6399999856948853,10,43,,,,
,,10,43,0.25026628375053406,0.46464645862579346,,
0.24666886256713647,0.6399999856948853,11,47,,,,
,,11,47,0.2504780888557434,0.46464645862579346,,
0.24525692888875128,0.6399999856948853,12,51,,,,
,,12,51,0.2508283853530884,0.46464645862579346,,
0.24434006410636366,0.6399999856948853,13,55,,,,
,,13,55,0.25116559863090515,0.46464645862579346,,
0.24396472263022692,0.6399999856948853,14,59,,,,
,,14,59,0.25136029720306396,0.46464645862579346,,
0.24402394299145347,0.6399999856948853,15,63,,,,
,,15,63,0.2513711452484131,0.46464645862579346,,
0.24434909348834097,0.6399999856948853,16,67,,,,
,,16,67,0.2512437105178833,0.46464645862579346,,
0.24474476745162893,0.6399999856948853,17,71,,,,
,,17,71,0.2510605752468109,0.46464645862579346,,
0.24505527370712976,0.6399999856948853,18,75,,,,
,,18,75,0.2508861720561981,0.46464645862579346,,
0.24528392640282728,0.6399999856948853,19,79,,,,
,,19,79,0.25075647234916687,0.46464645862579346,,
0.24536940306400315,0.6399999856948853,20,83,,,,
,,20,83,0.25068384408950806,0.46464645862579346,,
0.24542161393772222,0.6399999856948853,21,87,,,,
,,21,87,0.25064924359321594,0.46464645862579346,,
0.2454377553164778,0.6399999856948853,22,91,,,,
,,22,91,0.25063687562942505,0.46464645862579346,,
0.24546252605524146,0.6399999856948853,23,95,,,,
,,23,95,0.2506254017353058,0.46464645862579346,,
0.24564608421170533,0.6399999856948853,24,99,,,,
,,24,99,0.250600129365921,0.46464645862579346,,
0.24587431533301274,0.6399999856948853,25,103,,,,
,,25,103,0.25054749846458435,0.46464645862579346,,
0.2460010008669136,0.6399999856948853,26,107,,,,
,,26,107,0.2504882216453552,0.46464645862579346,,
0.24595600993598943,0.6399999856948853,27,111,,,,
,,27,111,0.25043079257011414,0.46464645862579346,,
0.24599276605065218,0.6399999856948853,28,115,,,,
,,28,115,0.2503829300403595,0.46464645862579346,,
0.24618686977394388,0.6399999856948853,29,119,,,,
,,29,119,0.2503269910812378,0.46464645862579346,,
0.24646155145030096,0.6399999856948853,30,123,,,,
,,30,123,0.25026583671569824,0.46464645862579346,,
0.24656638239975578,0.6399999856948853,31,127,,,,
,,31,127,0.25020596385002136,0.46464645862579346,,
0.24649252675628708,0.6399999856948853,32,131,,,,
,,32,131,0.2501641809940338,0.46464645862579346,,
0.2465823575103972,0.6399999856948853,33,135,,,,
,,33,135,0.25013208389282227,0.46464645862579346,,
0.24689662768128579,0.6399999856948853,34,139,,,,
,,34,139,0.2500784993171692,0.46464645862579346,,
0.2473000258091758,0.6399999856948853,35,143,,,,
,,35,143,0.25001195073127747,0.46464645862579346,,
0.24760608849400614,0.6399999856948853,36,147,,,,
,,36,147,0.2499433010816574,0.46464645862579346,,
0.24788656876254034,0.6399999856948853,37,151,,,,
,,37,151,0.24988412857055664,0.46464645862579346,,
0.2480883794835252,0.6399999856948853,38,155,,,,
,,38,155,0.2498352974653244,0.46464645862579346,,
0.2481202370753607,0.6399999856948853,39,159,,,,
,,39,159,0.24979795515537262,0.46464645862579346,,
0.24831862826696013,0.6399999856948853,40,163,,,,
,,40,163,0.24976393580436707,0.46464645862579346,,
0.24871225205589698,0.6399999856948853,41,167,,,,
,,41,167,0.24971935153007507,0.46464645862579346,,
0.24908654705529487,0.6399999856948853,42,171,,,,
,,42,171,0.24966974556446075,0.46464645862579346,,
0.24912493665543267,0.6399999856948853,43,175,,,,
,,43,175,0.24961866438388824,0.46464645862579346,,
0.2491041590315384,0.6399999856948853,44,179,,,,
,,44,179,0.24958419799804688,0.46464645862579346,,
0.2493571664879901,0.6399999856948853,45,183,,,,
,,45,183,0.24955254793167114,0.46464645862579346,,
0.24969751358253084,0.6399999856948853,46,187,,,,
,,46,187,0.2495134174823761,0.46464645862579346,,
0.24987642581093103,0.6399999856948853,47,191,,,,
,,47,191,0.24947290122509003,0.46464645862579346,,
0.2500466098480882,0.6399999856948853,48,195,,,,
,,48,195,0.24944119155406952,0.46464645862579346,,
0.2502818276337552,0.6399999856948853,49,199,,,,
