validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
0.15551700525742318,0.8399999737739563,0,3,,
,,0,3,0.07096722722053528,0.9292929172515869
0.155467071368553,0.8399999737739563,1,7,,
,,1,7,0.07096608728170395,0.9292929172515869
0.15540401509062451,0.8399999737739563,2,11,,
,,2,11,0.07096421718597412,0.9292929172515869
0.15532985425459456,0.8399999737739563,3,15,,
,,3,15,0.0709618479013443,0.9292929172515869
0.15524292566856934,0.8399999737739563,4,19,,
,,4,19,0.07095913589000702,0.9292929172515869
0.1551485821613898,0.8399999737739563,5,23,,
,,5,23,0.07095607370138168,0.9292929172515869
0.15504909738205913,0.8399999737739563,6,27,,
,,6,27,0.07095354050397873,0.9292929172515869
0.15494486378078035,0.8399999737739563,7,31,,
,,7,31,0.07094965130090714,0.9292929172515869
0.15483456961547631,0.8399999737739563,8,35,,
,,8,35,0.07094617933034897,0.9292929172515869
0.15471780854791273,0.8399999737739563,9,39,,
,,9,39,0.07094240933656693,0.9292929172515869
0.15459396628471028,0.8399999737739563,10,43,,
,,10,43,0.0709383636713028,0.9292929172515869
