val_loss,val_accuracy,epoch,step,loss,accuracy
0.2619540709232744,0.47999998927116394,0,3,,
,,0,3,0.2511070668697357,0.5252525210380554
0.24355952784111679,0.6000000238418579,1,7,,
,,1,7,0.2365078330039978,0.6060606241226196
0.22595540029741198,0.7200000286102295,2,11,,
,,2,11,0.223344624042511,0.6868686676025391
0.20823593902964127,0.6800000071525574,3,15,,
,,3,15,0.2134091854095459,0.7171717286109924
0.19163086059996243,0.7599999904632568,4,19,,
,,4,19,0.20122753083705902,0.7171717286109924
0.1837669393853576,0.7599999904632568,5,23,,
,,5,23,0.18915151059627533,0.747474730014801
0.18247807097155608,0.7599999904632568,6,27,,
,,6,27,0.179709330201149,0.7575757503509521
0.18274844048956798,0.7599999904632568,7,31,,
,,7,31,0.1689978688955307,0.7777777910232544
0.17878981547167583,0.7599999904632568,8,35,,
,,8,35,0.15942434966564178,0.808080792427063
0.17238629321390753,0.7599999904632568,9,39,,
,,9,39,0.14810925722122192,0.8181818127632141
0.17021446442129254,0.7599999904632568,10,43,,
,,10,43,0.13711614906787872,0.8282828330993652
0.1756767712941107,0.7200000286102295,11,47,,
,,11,47,0.12578259408473969,0.8585858345031738
0.17379043597773428,0.7599999904632568,12,51,,
,,12,51,0.11851724237203598,0.8585858345031738
0.16959407361990256,0.7599999904632568,13,55,,
,,13,55,0.11534783244132996,0.8787878751754761
0.1731286204432689,0.7599999904632568,14,59,,
,,14,59,0.11359312385320663,0.868686854839325
0.17680019220756196,0.7200000286102295,15,63,,
,,15,63,0.11095979809761047,0.8787878751754761
0.17606695882112444,0.7599999904632568,16,67,,
,,16,67,0.10865461826324463,0.8787878751754761
0.17817308635466048,0.7599999904632568,17,71,,
,,17,71,0.10627925395965576,0.8989899158477783
0.182693203263294,0.7599999904632568,18,75,,
,,18,75,0.10424578189849854,0.8989899158477783
0.1851081795598541,0.7599999904632568,19,79,,
,,19,79,0.10232967883348465,0.8989899158477783
0.18734675450801017,0.7599999904632568,20,83,,
,,20,83,0.10050251334905624,0.8989899158477783
0.19174658955696608,0.7599999904632568,21,87,,
,,21,87,0.09898761659860611,0.9090909361839294
0.19368277114156865,0.7599999904632568,22,91,,
,,22,91,0.09762854874134064,0.9292929172515869
0.19547880445634228,0.7599999904632568,23,95,,
,,23,95,0.09651202708482742,0.9292929172515869
0.1960710981755699,0.7599999904632568,24,99,,
,,24,99,0.09536079317331314,0.9292929172515869
0.19507427680604622,0.7599999904632568,25,103,,
,,25,103,0.09432778507471085,0.9292929172515869
0.19491336311543106,0.7599999904632568,26,107,,
,,26,107,0.09332134574651718,0.9292929172515869
0.19436172327340848,0.7599999904632568,27,111,,
,,27,111,0.0923360288143158,0.9292929172515869
0.1947776042065087,0.7599999904632568,28,115,,
,,28,115,0.0914808064699173,0.9292929172515869
0.19489088740728103,0.7599999904632568,29,119,,
,,29,119,0.09057173132896423,0.9292929172515869
0.19295366788013635,0.7599999904632568,30,123,,
,,30,123,0.0897340178489685,0.9292929172515869
0.1965915580596357,0.7599999904632568,31,127,,
,,31,127,0.08859308063983917,0.9292929172515869
0.192103801012891,0.7599999904632568,32,131,,
,,32,131,0.08781879395246506,0.9292929172515869
0.19133802797772717,0.7599999904632568,33,135,,
,,33,135,0.08672484755516052,0.9292929172515869
